,close,close,open,open,adjusted close,adjusted close,dividend amount,dividend amount,high,high,low,low,split coefficient,split coefficient,volume,volume
ticker,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ
date,,,,,,,,,,,,,,,,
2017-08-25,122.74,141.97,122.77,142.8,122.74,139.605,0.0,0.0,123.02,143.18,121.29,141.78,1.0,1.0,12398247.0,26380436.0
2017-08-28,124.69,142.41,123.33,142.41,124.69,140.0377,0.0,0.0,124.73,142.74,123.33,141.9501,1.0,1.0,11578265.0,15362141.0
2017-08-29,124.42,142.97,125.81,141.18,124.42,140.5884,0.0,0.0,125.87,143.21,124.05,141.06,1.0,1.0,9861471.0,24498333.0
2017-08-30,124.36,144.65,124.33,143.11,124.36,142.2404,0.0,0.0,124.62,144.89,124.16,143.0,1.0,1.0,6328422.0,33642716.0
2017-08-31,125.82,146.2,124.58,145.03,125.82,143.7646,0.0,0.0,125.84,146.21,124.55,144.98,1.0,1.0,11775530.0,38480747.0
2017-09-01,126.06,146.0,126.01,146.36,126.06,143.5679,0.0,0.0,126.17,146.585,125.12,145.61,1.0,1.0,11567404.0,22293553.0
2017-09-05,127.46,144.69,126.65,145.55,127.46,142.2797,0.0,0.0,127.78,145.88,126.57,143.6,1.0,1.0,11703242.0,45480562.0
2017-09-06,126.81,145.13,127.34,145.06,126.81,142.7124,0.0,0.0,127.44,145.46,126.55,144.08,1.0,1.0,10059273.0,30722723.0
2017-09-07,128.13,145.47,127.56,145.4,128.13,143.0467,0.0,0.0,128.32,145.84,127.39,144.94,1.0,1.0,10219719.0,22721131.0
2017-09-08,127.97,144.21,128.21,145.28,127.97,141.8077,0.0,0.0,128.3,145.35,127.59,144.06,1.0,1.0,8903683.0,27890115.0
2017-09-11,126.19,145.87,126.74,145.3,126.19,143.4401,0.0,0.0,126.94,146.12,126.05,145.3,1.0,1.0,8737510.0,27126332.0
2017-09-12,126.56,146.22,126.03,146.25,126.56,143.7842,0.0,0.0,126.59,146.41,125.94,145.53,1.0,1.0,8349012.0,30256661.0
2017-09-13,125.61,146.42,126.4,145.95,125.61,143.9809,0.0,0.0,126.45,146.44,125.5,145.73,1.0,1.0,8490963.0,28450864.0
2017-09-14,126.16,145.56,125.66,145.85,126.16,143.1352,0.0,0.0,126.44,146.2869,125.62,145.47,1.0,1.0,5330663.0,35296413.0
2017-09-15,125.53,146.06,125.99,145.56,125.53,143.6269,0.0,0.0,125.99,146.59,125.41,145.29,1.0,1.0,7124727.0,46422402.0
2017-09-18,124.36,145.55,124.71,145.88,124.36,143.4395,0.0,0.3194,124.76,146.37,123.97,145.11,1.0,1.0,8859807.0,24858157.0
2017-09-19,124.62,145.8,124.49,145.81,124.62,143.6858,0.0,0.0,124.65,146.01,124.03,145.31,1.0,1.0,5826537.0,20871237.0
2017-09-20,123.62,145.35,124.68,145.75,123.62,143.2424,0.0,0.0,125.06,145.91,123.15,144.23,1.0,1.0,11415229.0,34236155.0
2017-09-21,122.68,144.46,122.56,145.25,122.68,142.3653,0.0,0.0,123.07,145.26,122.49,143.95,1.0,1.0,7757897.0,28841835.0
2017-09-22,123.24,144.32,123.03,144.0,123.24,142.2273,0.0,0.0,123.39,144.53,122.93,143.855,1.0,1.0,6011928.0,21702401.0
2017-09-25,124.53,142.8,122.78,143.75,124.53,140.7293,0.0,0.0,124.66,143.8299,122.71,142.1,1.0,1.0,10257209.0,54947712.0
2017-09-26,123.14,143.17,123.57,143.51,123.14,141.094,0.0,0.0,123.81,143.8,122.9,142.67,1.0,1.0,8673582.0,29628806.0
2017-09-27,121.98,144.46,122.04,143.93,121.98,142.3653,0.0,0.0,122.51,145.0,121.88,143.57,1.0,1.0,6903944.0,33249403.0
2017-09-28,122.21,144.41,122.04,144.14,122.21,142.316,0.0,0.0,122.48,144.5566,121.83,143.78,1.0,1.0,5968213.0,24149422.0
2017-09-29,121.58,145.45,122.29,144.7,121.58,143.3409,0.0,0.0,122.3,145.555,121.55,144.32,1.0,1.0,10207343.0,43102366.0
2017-10-02,120.77,145.58,121.17,145.67,120.77,143.469,0.0,0.0,121.34,146.17,120.74,144.93,1.0,1.0,11755378.0,27351260.0
2017-10-03,120.83,145.89,120.72,145.74,120.83,143.7745,0.0,0.0,121.1,146.06,120.7,145.45,1.0,1.0,3727955.0,19715152.0
2017-10-04,121.17,146.03,121.21,145.6,121.17,143.9125,0.0,0.0,121.27,146.34,120.71,145.47,1.0,1.0,6475238.0,26381099.0
2017-10-05,120.52,147.46,121.15,146.54,120.52,145.3218,0.0,0.0,121.24,147.54,120.4,146.4063,1.0,1.0,6204169.0,31562353.0
2017-10-06,121.09,147.66,120.26,146.97,121.09,145.5189,0.0,0.0,121.21,147.66,119.78,146.96,1.0,1.0,10012506.0,23561069.0
2017-10-09,122.08,147.49,121.64,147.86,122.08,145.3513,0.0,0.0,122.11,148.0093,121.55,147.3,1.0,1.0,5263706.0,13704835.0
2017-10-10,122.4,147.6,122.62,147.98,122.4,145.4597,0.0,0.0,122.97,148.14,122.36,146.95,1.0,1.0,9315475.0,19223092.0
2017-10-11,122.79,148.04,122.57,147.53,122.79,145.8934,0.0,0.0,122.88,148.07,122.03,147.34,1.0,1.0,5647326.0,12439051.0
2017-10-12,122.89,147.77,122.84,147.84,122.89,145.6273,0.0,0.0,123.04,148.355,122.5,147.615,1.0,1.0,3034775.0,14513477.0
2017-10-13,123.82,148.34,123.66,148.4,123.82,146.189,0.0,0.0,123.86,148.51,123.34,147.7772,1.0,1.0,6820055.0,18409888.0
2017-10-16,122.97,148.85,123.82,148.7,122.97,146.6916,0.0,0.0,123.97,148.89,122.57,148.3928,1.0,1.0,8199818.0,21809410.0
2017-10-17,122.13,149.04,122.03,148.79,122.13,146.8789,0.0,0.0,122.32,149.06,121.73,148.57,1.0,1.0,7041240.0,13138157.0
2017-10-18,121.67,148.86,121.71,149.21,121.67,146.7015,0.0,0.0,121.94,149.21,121.55,148.64,1.0,1.0,3666407.0,17218243.0
2017-10-19,122.39,148.31,122.2,148.02,122.39,146.1594,0.0,0.0,122.55,148.33,122.11,147.27,1.0,1.0,5564004.0,27680285.0
2017-10-20,121.61,148.71,121.68,148.91,121.61,146.5536,0.0,0.0,121.98,149.04,121.39,148.53,1.0,1.0,8481102.0,30173268.0
2017-10-23,121.8,147.74,120.98,149.01,121.8,145.5977,0.0,0.0,121.9,149.03,120.96,147.53,1.0,1.0,5069650.0,29297126.0
2017-10-24,121.33,147.99,121.26,148.0,121.33,145.8441,0.0,0.0,121.71,148.3,120.98,147.44,1.0,1.0,5114077.0,20289467.0
2017-10-25,121.35,147.43,121.31,147.7,121.35,145.2922,0.0,0.0,121.59,148.18,120.84,146.33,1.0,1.0,4282369.0,36179124.0
2017-10-26,120.33,146.96,121.16,147.36,120.33,144.829,0.0,0.0,121.16,147.705,120.22,146.92,1.0,1.0,6438806.0,28230199.0
2017-10-27,120.9,151.24,120.38,149.33,120.9,149.047,0.0,0.0,120.99,151.52,120.21,149.2,1.0,1.0,6663378.0,60165127.0
2017-10-30,121.13,151.58,120.38,151.08,121.13,149.382,0.0,0.0,121.47,152.19,120.38,150.9899,1.0,1.0,5117133.0,31733386.0
2017-10-31,120.67,152.15,120.82,152.04,120.67,149.9438,0.0,0.0,120.84,152.37,120.38,151.63,1.0,1.0,3910495.0,26319327.0
2017-11-01,121.11,152.1,120.98,152.75,121.11,149.8945,0.0,0.0,121.55,152.83,120.84,151.5,1.0,1.0,4647587.0,29481569.0
2017-11-02,121.19,151.81,121.29,151.92,121.19,149.6087,0.0,0.0,121.96,151.99,121.05,150.77,1.0,1.0,5368199.0,31017426.0
2017-11-03,120.62,153.27,121.36,152.39,120.62,151.0475,0.0,0.0,121.43,153.29,120.18,151.84,1.0,1.0,6330642.0,26199249.0
2017-11-06,121.65,153.79,120.72,153.13,121.65,151.56,0.0,0.0,121.85,153.85,120.68,153.1,1.0,1.0,6953772.0,28693919.0
2017-11-07,121.21,153.88,121.51,153.67,121.21,151.6487,0.0,0.0,121.56,154.0823,120.78,153.34,1.0,1.0,4165933.0,21333062.0
2017-11-08,121.63,154.5,121.95,153.81,121.63,152.2597,0.0,0.0,122.25,154.54,121.59,153.62,1.0,1.0,5565212.0,17373517.0
2017-11-09,122.13,153.69,121.85,153.26,122.13,151.4614,0.0,0.0,122.41,153.77,121.73,152.11,1.0,1.0,6072394.0,40459520.0
2017-11-10,121.13,153.68,121.99,153.36,121.13,151.4516,0.0,0.0,122.11,153.8,120.94,153.06,1.0,1.0,7116200.0,20150762.0
2017-11-13,121.31,153.87,121.43,153.12,121.31,151.6388,0.0,0.0,121.55,154.0693,121.27,153.1,1.0,1.0,6249206.0,12522399.0
2017-11-14,121.56,153.31,120.9,153.31,121.56,151.0869,0.0,0.0,121.91,153.5,120.77,152.57,1.0,1.0,6188992.0,25173763.0
2017-11-15,121.41,152.59,122.13,152.61,121.41,150.3774,0.0,0.0,122.36,153.0,121.25,151.78,1.0,1.0,4984387.0,24808004.0
2017-11-16,121.4,154.54,121.45,153.38,121.4,152.2991,0.0,0.0,121.71,154.89,121.29,153.33,1.0,1.0,2796045.0,34790570.0
